站点,type,description,匹配辅助列,取值字段,中文意思,账单字段序列,维度,绩效表对应维度
DE,Gebühren von Amazon,Leistungsbasierte Coupon-Gebühr,Gebühren von Amazon/Leistungsbasierte Coupon-Gebühr,Gesamt,优惠券点击费,33,单维度费用,推广费
DE,Gebühren von Amazon,Teilnahmegebühr für das Angebot,Gebühren von Amazon/Teilnahmegebühr für das Angebot,Gesamt,秒杀活动报名费,33,单维度费用,推广费
DE,Gebühren von Amazon,Leistungsbasierte Angebotsgebühr,Gebühren von Amazon/Leistungsbasierte Angebotsgebühr,Gesamt,秒杀活动服务费,33,单维度费用,推广费
DE,Gebühren von Amazon,Vine-Registrierungsgebühr,Gebühren von Amazon/Vine-Registrierungsgebühr,Gesamt,好评活动注册费,33,单维度费用,推广费
DE,Liquidationen,,Liquidationen,Umsätze,清仓-收入,6,多维度费用,订单金额
DE,Liquidationen,,Liquidationen,Produktumsatzsteuer,清仓-税费,41,多维度费用,税费
DE,Liquidationen,,Liquidationen,,清仓-平台代扣代缴税额,43,多维度费用,税费
DE,Liquidationen,,Liquidationen,Andere Transaktionsgebühren,清仓-服务费,38,多维度费用,弃置费/退货手续费/移除费
DE,Liquidationsanpassungen,,Liquidationsanpassungen,Umsätze,清仓-收入调整,7,多维度费用,订单金额
DE,Liquidationsanpassungen,,Liquidationsanpassungen,Produktumsatzsteuer,清仓-税费调整,41,多维度费用,税费
DE,Liquidationsanpassungen,,Liquidationsanpassungen,,清仓-平台代扣代缴税额调整,43,多维度费用,税费
DE,Liquidationsanpassungen,,Liquidationsanpassungen,Andere Transaktionsgebühren,清仓-服务费调整,38,多维度费用,弃置费/退货手续费/移除费
DE,Servicegebühr,Werbekosten,Servicegebühr/Werbekosten,Gesamt,广告费,36,单维度费用,广告费
DE,Servicegebühr,Coupon-Einlösungsgebühr,Servicegebühr/Coupon-Einlösungsgebühr,Gesamt,优惠活动服务费,33,单维度费用,推广费
